TableData,reference/table-data
java.util.List,https://docs.oracle.com/javase/8/docs/api/java/util/List.html
java.util.Map,https://docs.oracle.com/javase/8/docs/api/java/util/Map.html
DataNode,HTTP/data-node
http.get,HTTP/HTTP-calls#get
http.post,HTTP/HTTP-calls#post
http.put,HTTP/HTTP-calls#put
http.delete,HTTP/HTTP-calls#delete
http.patch,HTTP/HTTP-calls#patch
http.query,HTTP/query-parameters
http.header,HTTP/header
http.json,HTTP/body#json-request
data.csv,data/csv
data.json,data/json
data.pdf,data/pdf
should,matchers/introduction#should
shouldBe,matchers/introduction#should
waitTo,matchers/introduction#waitto
waitToBe,matchers/introduction#waitto